operation,microseconds,milliseconds
server2_write,2103,2
server2_add_prf_key,15,0
server2_read,90,0
server2_read,95,0
server2_read,88,0
server2_read,69,0
server2_read,73,0
server2_read,77,0
server2_read,79,0
server2_read,73,0
server2_read,72,0
server2_read,67,0
server2_read,69,0
server2_read,69,0
server2_read,72,0
server2_read,70,0
server2_read,64,0
server2_read,67,0
server2_read,60,0
server2_read,67,0
server2_read,64,0
server2_read,53,0
server2_read,63,0
server2_read,66,0
server2_read,68,0
server2_read,63,0
server2_read,63,0
server2_read,58,0
server2_read,60,0
server2_read,61,0
server2_read,55,0
server2_read,52,0
server2_read,59,0
server2_read,55,0
server2_read_paths,1865,1
server2_write,2359,2
server2_add_prf_key,8,0
server2_read,83,0
server2_read,94,0
server2_read,87,0
server2_read,86,0
server2_read,78,0
server2_read,82,0
server2_read,77,0
server2_read,69,0
server2_read,75,0
server2_read,62,0
server2_read,62,0
server2_read,64,0
server2_read,69,0
server2_read,63,0
server2_read,63,0
server2_read,63,0
server2_read,63,0
server2_read,63,0
server2_read,54,0
server2_read,59,0
server2_read,62,0
server2_read,61,0
server2_read,59,0
server2_read,60,0
server2_read,64,0
server2_read,57,0
server2_read,57,0
server2_read,60,0
server2_read,62,0
server2_read,52,0
server2_read,60,0
server2_read,54,0
server2_write,2054,2
server2_add_prf_key,8,0
server2_read,92,0
server2_read,91,0
server2_read,83,0
server2_read,76,0
server2_read,79,0
server2_read,88,0
server2_read,78,0
server2_read,70,0
server2_read,69,0
server2_read,65,0
server2_read,62,0
server2_read,70,0
server2_read,63,0
server2_read,64,0
server2_read,68,0
server2_read,56,0
server2_read,66,0
server2_read,61,0
server2_read,66,0
server2_read,59,0
server2_read,55,0
server2_read,56,0
server2_read,66,0
server2_read,65,0
server2_read,63,0
server2_read,65,0
server2_read,67,0
server2_read,66,0
server2_read,64,0
server2_read,59,0
server2_read,62,0
server2_read,59,0
server2_read_paths,1955,1
server2_write,2104,2
server2_add_prf_key,8,0
server2_read,96,0
server2_read,106,0
server2_read,91,0
server2_read,91,0
server2_read,93,0
server2_read,88,0
server2_read,98,0
server2_read,86,0
server2_read,61,0
server2_read,78,0
server2_read,68,0
server2_read,76,0
server2_read,80,0
server2_read,76,0
server2_read,72,0
server2_read,68,0
server2_read,72,0
server2_read,61,0
server2_read,69,0
server2_read,60,0
server2_read,65,0
server2_read,67,0
server2_read,65,0
server2_read,69,0
server2_read,62,0
server2_read,67,0
server2_read,62,0
server2_read,70,0
server2_read,60,0
server2_read,60,0
server2_read,68,0
server2_read,58,0
server2_write,2382,2
server2_add_prf_key,17,0
server2_read,123,0
server2_read,123,0
server2_read,123,0
server2_read,121,0
server2_read,121,0
server2_read,120,0
server2_read,113,0
server2_read,86,0
server2_read,91,0
server2_read,87,0
server2_read,94,0
server2_read,105,0
server2_read,94,0
server2_read,96,0
server2_read,82,0
server2_read,73,0
server2_read,57,0
server2_read,102,0
server2_read,101,0
server2_read,89,0
server2_read,95,0
server2_read,102,0
server2_read,78,0
server2_read,90,0
server2_read,85,0
server2_read,83,0
server2_read,101,0
server2_read,95,0
server2_read,92,0
server2_read,89,0
server2_read,84,0
server2_read,89,0
server2_read_paths,2680,2
server2_write,2202,2
server2_add_prf_key,8,0
server2_read,126,0
server2_read,133,0
server2_read,99,0
server2_read,113,0
server2_read,108,0
server2_read,103,0
server2_read,88,0
server2_read,83,0
server2_read,76,0
server2_read,90,0
server2_read,75,0
server2_read,88,0
server2_read,92,0
server2_read,91,0
server2_read,72,0
server2_read,74,0
server2_read,78,0
server2_read,89,0
server2_read,73,0
server2_read,63,0
server2_read,96,0
server2_read,79,0
server2_read,75,0
server2_read,80,0
server2_read,68,0
server2_read,84,0
server2_read,95,0
server2_read,90,0
server2_read,90,0
server2_read,82,0
server2_read,85,0
server2_read,89,0
