operation,microseconds,milliseconds
client_read_get_prf_keys,301,0
client_read_read,397,0
client_write_local,13,0
client_write_end_to_end,207,0
client_write_local,6,0
client_write_end_to_end,132,0
client_write_local,5,0
client_write_end_to_end,110,0
client_write_local,5,0
client_write_end_to_end,117,0
client_write_local,5,0
client_write_end_to_end,106,0
client_write_local,5,0
client_write_end_to_end,101,0
client_write_local,5,0
client_write_end_to_end,94,0
client_write_local,5,0
client_write_end_to_end,83,0
client_write_local,5,0
client_write_end_to_end,85,0
client_write_local,5,0
client_write_end_to_end,84,0
client_write_local,5,0
client_write_end_to_end,85,0
client_write_local,5,0
client_write_end_to_end,84,0
client_write_local,5,0
client_write_end_to_end,83,0
client_write_local,5,0
client_write_end_to_end,82,0
client_write_local,5,0
client_write_end_to_end,82,0
client_write_local,5,0
client_write_end_to_end,85,0
client_write_local,5,0
client_write_end_to_end,83,0
client_write_local,5,0
client_write_end_to_end,83,0
client_write_local,5,0
client_write_end_to_end,82,0
client_write_local,5,0
client_write_end_to_end,82,0
client_write_local,5,0
client_write_end_to_end,81,0
client_write_local,5,0
client_write_end_to_end,84,0
client_write_local,5,0
client_write_end_to_end,82,0
client_write_local,5,0
client_write_end_to_end,84,0
client_write_local,5,0
client_write_end_to_end,81,0
client_write_local,5,0
client_write_end_to_end,84,0
client_write_local,5,0
client_write_end_to_end,93,0
client_write_local,5,0
client_write_end_to_end,87,0
client_write_local,5,0
client_write_end_to_end,83,0
client_write_local,5,0
client_write_end_to_end,84,0
client_write_local,5,0
client_write_end_to_end,92,0
client_write_local,4,0
client_write_end_to_end,81,0
client_read_get_prf_keys,2519,2
client_read_read,574,0
client_read_get_prf_keys,392,0
client_read_read,528,0
client_read_get_prf_keys,350,0
client_read_read,431,0
client_read_get_prf_keys,311,0
client_read_read,496,0
client_read_get_prf_keys,299,0
client_read_read,460,0
client_read_get_prf_keys,300,0
client_read_read,455,0
client_read_get_prf_keys,292,0
client_read_read,411,0
client_read_get_prf_keys,288,0
client_read_read,406,0
client_read_get_prf_keys,314,0
client_read_read,435,0
client_read_get_prf_keys,287,0
client_read_read,453,0
client_read_get_prf_keys,282,0
client_read_read,397,0
client_read_get_prf_keys,297,0
client_read_read,436,0
client_read_get_prf_keys,283,0
client_read_read,443,0
client_read_get_prf_keys,296,0
client_read_read,446,0
client_read_get_prf_keys,301,0
client_read_read,399,0
client_read_get_prf_keys,277,0
client_read_read,408,0
client_read_get_prf_keys,276,0
client_read_read,415,0
client_read_get_prf_keys,1035,1
client_read_read,454,0
client_read_get_prf_keys,317,0
client_read_read,417,0
client_read_get_prf_keys,300,0
client_read_read,408,0
client_read_get_prf_keys,293,0
client_read_read,452,0
client_read_get_prf_keys,297,0
client_read_read,438,0
client_read_get_prf_keys,284,0
client_read_read,421,0
client_read_get_prf_keys,278,0
client_read_read,427,0
client_read_get_prf_keys,278,0
client_read_read,415,0
client_read_get_prf_keys,283,0
client_read_read,440,0
client_read_get_prf_keys,321,0
client_read_read,473,0
client_read_get_prf_keys,280,0
client_read_read,442,0
client_read_get_prf_keys,281,0
client_read_read,427,0
client_read_get_prf_keys,279,0
client_read_read,430,0
client_read_get_prf_keys,279,0
client_read_read,447,0
client_read_get_prf_keys,343,0
client_read_read,442,0
